,uri,title,artist,cluster
265,spotify:track:5OiaAaIMYlCZONyDBxqk4G,First Day Of My Life,Bright Eyes,1
266,spotify:track:4G21jWo0Cm6lOIUNnZ2mUI,Such Great Heights - Remastered,The Postal Service,5
267,spotify:track:5op53ANI4exiWqFHKuwWxd,The World At Large,Modest Mouse,5
268,spotify:track:4Bn9kYtB96Napg5kyQfycm,Never Wanna Know,MØ,1
269,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,Idina Menzel& AURORA,7
270,spotify:track:1MmajR1mnAvswYv0YH27Xn,Up in the Sky,77 Bombay Street,5
271,spotify:track:5VGaB3oRB4sbE0319THNTu,Somewhere Out There,Donald Glover & Danny Pudi,7
272,spotify:track:3gGMsx3jxYKfhXq8LMj1tz,Vanished,Crystal Castles,2
273,spotify:track:6e65fH1wClamA2QPI5HUi3,Prickly Pear,Portico Quartet,2
274,spotify:track:0z21vE4xHXXYSyXkOLDUXF,Memoir,Villagers,7
275,spotify:track:5aT8chiSiLs2aYrcx6ogkE,Never Even Thought - Remastered 2017,Murray Head,2
276,spotify:track:2aDPkl4GCO2b53goL5Ia4W,Kuzola,Pongo,3
277,spotify:track:3BD2hlwoExMUXUpxcYxaWx,Deixa A Gira Girar,Os Tincoãs,0
278,spotify:track:5fobppqM9xKdWDaTLqc8xw,Les yeux de ma mère (en concert),Arno,4
279,spotify:track:7mLn02m51IabtPHiD0iErC,The Man Who Owns the Place,Balthazar,1
280,spotify:track:1WkZ44tstl0R9Zmbyy55CW,"Mon oncle (from ""Mon oncle"")",Frank Barcellini,6
281,spotify:track:1jO3MaCjrRQusiqkZQPA9h,Dans tes yeux,Anis,7
282,spotify:track:7kFbVVOKqqitDEzTrNgvD1,Le train du soir (feat. Pomme),Raphaël& Pomme,4
283,spotify:track:6GAIFekQuwVIHOqyTUbj07,Comme à la maison - Bonus track,Meryl,4
284,spotify:track:1eyAEZ65Ee1UuloJIHWbwc,WOLLAN,Meryl,0
285,spotify:track:3kiTnvHHKipoAwa40GTGGy,Coucou,Meryl,4
286,spotify:track:70pkwEEG7nDTXBFqoGQkH0,Coffre plein,Koba LaD& Maes& Zed,7
287,spotify:track:3n2HtODSfVBvrZSeDipfWi,Yamore,Salif Keita& Cesária Evora,5
288,spotify:track:3V6NCwBywAwpAlAyGL7h0p,Doudou,Aya Nakamura,0
289,spotify:track:2kzOzFR61orwLEIIgFwspG,Paper Aeroplane,Angus & Julia Stone,4
290,spotify:track:3t8hniC26RU5WgDO0a5gIF,The Juice - Mixed,Mr. Fingers,4
291,spotify:track:0LWhcj0hd4a4Y5oO2GRpyG,Il suffirait de presque rien - Nouveau mix,Serge Reggiani,5
292,spotify:track:2o4NHmMd8ThiobkTj5sInX,Ma fille,Serge Reggiani,7
293,spotify:track:1IsYgxPzYd4cBB2qMGZ1mG,La montagne,Jean Ferrat,7
294,spotify:track:1LPGwuFgIzbJoShfDdw7MY,Youth,Glass Animals,2
295,spotify:track:7vWoPiYOF5KjONQejjmEcy,Se fendre les joues,Da Silva,2
296,spotify:track:2CQQQfax1YLcMbU0V5oTuQ,Only Way Is Up,Gaël Faye& Jacob Banks,5
297,spotify:track:6mdI4I8iSBQVS5xsIFA6iJ,Island Of Doom,Agnes Obel,7
298,spotify:track:2Fsat2MbgEFJCSyCMVxz9b,Blur,MØ,5
299,spotify:track:0Tf265JMp6POJkvIcYB6xT,Et si tu n'existais pas,Hélène Ségara& Joe Dassin,4
300,spotify:track:41zrRHYHY72LCf2hzaK18z,L'indécision,Da Silva,0
301,spotify:track:5pSvjjfsh34sLrkYSNGCl4,Down Under,Men At Work,3
302,spotify:track:38sc2aKVyDG77l7kv6zBDZ,"Pour un pote - Bande originale du film ""Brice 3""",Bigflo & Oli& Jean Dujardin,4
303,spotify:track:7p5jetoN7m7LeDKA2Mfhvv,Sparring Partner,Paolo Conte,4
304,spotify:track:0oGhGvRAbCjZXasyz4nB95,Les gauloises bleues,Clou,5
305,spotify:track:5uDMz8kBI5cjnJ2Bh61LHl,Illusion,Ben Mazué,4
306,spotify:track:6PbRfvvnsJr6fIi3iunNyn,Gaffe aux autres,Ben Mazué& Jérémy Frerot,0
307,spotify:track:5d1fRuGL7Vz0TNu8OSS2Fo,Quand je marche,Ben Mazué,7
308,spotify:track:4ygRdvjxDYngbgddCtXDjT,In a Manner of Speaking,Nouvelle Vague& Camille,0
309,spotify:track:7oHPHBLG6hOaGeBrkOUSS3,Breath of Roma,Meryem Aboulouafa,7
310,spotify:track:366ZWAQxSeFY4HTXUJ1Kix,It's you,Lou Doillon& Cat Power,7
311,spotify:track:5JeixjCUBXrUajYxJbKnDs,C'est moi le printemps,Daniel Darc,5
312,spotify:track:3GXLibOhXUhIxw4ceyzNZ7,C'était mieux avant,Daniel Darc,3
313,spotify:track:3vgmRlBi986YeWV95UNgJ6,"Je me souviens, je me rappelle",Daniel Darc,4
314,spotify:track:4V540eGeHM6c2QrUjItLvI,Le bonheur,Berry,0
315,spotify:track:68hIkZXqCrkdsugmX6zs6W,Again,Archive,7
316,spotify:track:3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,7
317,spotify:track:3911Bzzv8FHgbitJzXFjxh,Toumast Tincha,Tinariwen,6
318,spotify:track:6170lJSBtiM5trzOtHtdD2,Gimme Some,Weval,7
319,spotify:track:2sDurGdooRkMxYRGfRvPdn,baglaens,Lowly,4
320,spotify:track:2JIVtls9Jf9nAosUbFzbyw,Tonight,Sibylle Baier,3
321,spotify:track:0aOn2mNlsE0Ql2VT0x3dTy,On ne meurt plus d'amour,Robi,4
322,spotify:track:6FpcZu9AnpLqKtTvAr6DbJ,Chante De La Où Tu Es,Lior Shoov,4
323,spotify:track:1lQAG1xVrSifqAo01DXZ8k,À nous,Noé Preszow,1
324,spotify:track:1iBF9A9VgSYOxhAhSlxJ5F,"Dernier domicile connu - Bande originale du film ""Dernier domicile connu""",François de Roubaix,7
325,spotify:track:3eG4ICvNEPVJfhPmpZRcHf,A.C.I.D.,Ben Prunty,4
326,spotify:track:0WSWwqMzHID03Kw1rNRiSe,Cet air-là,France Gall,4
327,spotify:track:1ugKYT4OfPyp4KFovrk4UL,Resurrections,Lena Raine,7
328,spotify:track:1p9kMVIwEfnTf3q8xnCRtL,Le monde est à mes pieds,Scylla& Sofiane Pamart,3
329,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,7
330,spotify:track:5eCdOEOKN7yjEGdzMp8zs5,Solitude,Scylla& Sofiane Pamart,7
331,spotify:track:2RZWdE8kYPlCAcRUYDeuLC,Red Flag,Billy Talent,5
332,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring,4
333,spotify:track:6umX518VohIob6IipK3WYM,Decode - Twilight Soundtrack Version,Paramore,5
334,spotify:track:1fr92Vupmcs2vgLMFVQ7rd,In the Shadows,The Rasmus,4
335,spotify:track:7knzoaWkBgCqcZUmjJC9Tr,"Marche turque, 3ème mouvement de la sonate N°11",Wolfgang Amadeus Mozart& Sandrine Roche,6
336,spotify:track:7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,Linkin Park,4
337,spotify:track:0It6VJoMAare1zdV2wxqZq,Undisclosed Desires,Muse,2
338,spotify:track:5BfYMZUqH60CizAC6zgx7s,La Moldau,Bedřich Smetana& Slovak Philharmonic& Kurt Redel,4
339,spotify:track:60mItLdFl6xkYc1sAjlZlf,In This Shirt,The Irrepressibles,7
340,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,4
341,spotify:track:46SOx5T1UwQ1Ke8dA3RAhF,India Song - BOF India Song,Jeanne Moreau,3
342,spotify:track:1CP6EfhfdqF7qbRcvOvvWT,DEHORS DANS LA NIGHT,Laylow,7
343,spotify:track:1ff8lsrJ2kuZuofMw81EQo,Save a Prayer - 2009 Remaster,Duran Duran,7
344,spotify:track:5BCykgPXc7zEBg2oU0klvy,Who Can It Be Now?,Men At Work,7
345,spotify:track:7leVj2jwVG79K4fJwXifK2,Les prisons de Nantes,Tri Yann,5
346,spotify:track:0CK3hcpHOBzl8nbxQ85NFr,Herr Mannelig,Haggard,0
347,spotify:track:39qYD4J4BKvZMQgxfXl5bv,Eye In The Sky,The Alan Parsons Project,2
348,spotify:track:3AWs5kIyjFDVsAtofkFU7L,Criminel (feat. Niska),Bramsito& Niska,4
349,spotify:track:6Sf7rZtL2hCqqrnu6d9XKZ,Spectre - Bibio Remix,Tycho& Bibio,7
350,spotify:track:1qnCaRRFDKePD2TkMcUeoB,Bling,TESSÆ,7
351,spotify:track:4WkMLi1h3KKdkbJ89QwF2A,17,Ilgen-Nur,7
352,spotify:track:5wcRDqvHCXMRB62PoXDixl,La Ballade of Lady & Bird,Lady & Bird,2
353,spotify:track:64XRAfqb1BaTzFmwf4c1Zn,Pale Yellow - A COLORS SHOW,Woodkid,4
354,spotify:track:2SfTucoiNjeUZcM0OgoFa7,Laka,Aventure& Fishbach& Bachar Mar-Khalifé,1
355,spotify:track:3Hi41jMUzAyN3ydCsoJmK9,Hockey sur glace à l'italienne,Mondial Toboggan,4
356,spotify:track:5MeUMSRreLHYLhw8ZTyqpk,Renee,SALES,3
357,spotify:track:614OkajfRPH8V0ugNQnduP,Upside Down,JVKE,2
358,spotify:track:3kj6W8kLwCTURFaCWewxFR,Merci,Jeanne Cherhal,7
359,spotify:track:6fiCGSSknae1sjVVLjd7Y4,Duo (avec Angèle et Chilly Gonzales),Philippe Katerine& Angèle& Chilly Gonzales,3
360,spotify:track:0OGcDWuOTESHImIxWeofIF,Bad Apple!!,FalKKonE& Lunacy,3
361,spotify:track:70yiVJoOUU6cNbdsgL6ADT,MACINTOSH,Gambi,7
362,spotify:track:3xJ8siSD7r5mDqLNtQ5CPf,A Soft Seduction,David Byrne,2
363,spotify:track:4ZdcHEZKCJkj7638wSTaOz,Лето (Запись 1982),Zoopark,7
364,spotify:track:1Zwptx5Sp1Ypo5DmmMULfd,Time Will,Hercules & Love Affair,2
365,spotify:track:421Gp1eSmOIcD6alTWowFR,O Superman,Laurie Anderson,2
366,spotify:track:2iPQyTGxQn49fGaqqrbH51,T'as vu,Clio,7
367,spotify:track:4FO2wYk888ICu1LUdYuXuv,My World Is Empty Without You,José Feliciano,2
368,spotify:track:2nCZs15rSShxeRBzBp6eLO,Bahlam Maak,Najat Al Saghira,1
369,spotify:track:2ZIaH69kaz55RM4Pjx6KXl,Two Thousand and Seventeen,Four Tet,1
370,spotify:track:5y9REghTqu2BkAPMfBTXwk,I Am a Joker!,BEA1991,7
371,spotify:track:1d4m1qmn5Bu2Y7dXBCM1kw,Thunder,Catnapp,1
372,spotify:track:03A4A0yXmb08UfemtXnI3d,Happened,Perera Elsewhere,7
373,spotify:track:46bTgJAQkrkNRxMuFnpRyD,Karmacoma,Massive Attack,4
374,spotify:track:0wokCRaKD0zPNhMRXAgVsr,Ordinary World,Duran Duran,3
375,spotify:track:6I4snLrVOrJsLdd43isc27,A View to a Kill,Duran Duran,5
376,spotify:track:36eHvuluPjSm7HNRLqng7R,C'est zéro,Julie Masse,5
377,spotify:track:4n8y0kLjgOBQGrMPRKx1Ye,Oxygène,Diane Dufresne,7
378,spotify:track:4kZOi9K2i06Syi2DiSfEqT,The Chauffeur - 2009 Remaster,Duran Duran,3
379,spotify:track:4yYKWN3FtoRxdlJBqIn8Rh,Silver Trembling Hands,The Flaming Lips,4
380,spotify:track:4mUTbQ7Eo6sqDR3r3QfyWt,Denim,Exhauster,7
381,spotify:track:3eI6BvMeNo1IlRBWqBHx5F,Victory Dance,My Morning Jacket,4
382,spotify:track:5sK0vlYGCFzk3dqHkkL4ac,Plus riche,Hatik& Sofiane,4
383,spotify:track:6as0Q9RFNCufcus0mzHoDs,93% [Tijuana],GLK& Landy& DA Uzi& Hornet La Frappe,4
384,spotify:track:1O3ihvVI9a9hRqhBy5so12,Noir Désir,Vive La Fête,2
385,spotify:track:5HEtuK03ygUzqca6yfgOYZ,Lettre à une femme,Ninho,4
386,spotify:track:2E7X83kz4UKeqOTTQyibHl,Grand bain,Dadju& Ninho,5
387,spotify:track:22bUovRVxMn153XttbCx6I,Ride,Lolo Zouaï,3
388,spotify:track:1goTiiRtaNdwiGOsSIgBA4,Baby,DakhaBrakha,7
389,spotify:track:3TPr2Em1i454nDS8UJbaFW,Petit pays,Cesária Evora,6
390,spotify:track:2ErLVOXP9j8ziacqpz5JJr,Cumbia del Monte Fuji,Frente Cumbiero& Minyo Crusaders,3
391,spotify:track:2cn3mFX1JMuas2e41ZEbP1,Te Llevaré,Lisandro Meza Y Su Conjunto,2
392,spotify:track:3cGDEM1lcQSZPWUGnesWOV,You're The Best (Theme From The Karate Kid) [Originally Performed by Joe Esposito],Beer Tone,0
393,spotify:track:6B1OS2khVnMVqiqJo9H2OF,Une miss s'immisce,Exotica,4
394,spotify:track:1fmoCZ6mtMiqA5GHWPcZz9,A New Error,Moderat,7
395,spotify:track:4ygSSIuPuM0EYu22s8YF4t,Bloodflow,Grandbrothers,4
396,spotify:track:297rZsBEjFw9d0Gl3iBLnd,Goodie Bag,Still Woozy,4
397,spotify:track:0lYRAsWNDdUhGMftqH0RVG,Sister Of Pearl,Baio,7
398,spotify:track:7jN6iYiYycnfVEHJvDBlh5,Waves - Chilly Gonzales Piano Remake,Erol Alkan& Boys Noize& Chilly Gonzales,2
399,spotify:track:0bTVrDHZ8ddqq8qdrdHiQz,Avant que je m'ennuie,Mathieu Boogaerts,2
400,spotify:track:5mUXRXoNWdGAanuNCk6VBQ,Les Amants d'un jour,Édith Piaf,3
401,spotify:track:7lOAxVMyQVRwKukLvyPVq0,"Toi qui disais, qui disais, qui disais",Catherine Sauvage,2
402,spotify:track:2hvOsGJc6qll4WzW8Ljqc3,Brass in Pocket - 2006 Remaster,Pretenders,0
403,spotify:track:2wawV8tgZ98Tj662chF0ZY,I Was Gonna Cancel,Kylie Minogue,3
404,spotify:track:0FOOo8wbVSFQ7YI0ZF8iC7,Maman dort,S.Pri Noir& Alonzo,3
405,spotify:track:1ytzrpWRCpUasHmT5P4LRt,Twist Of Fate,Olivia Newton-John,3
406,spotify:track:2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,Hole,1
407,spotify:track:241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love) - 2003 Remaster,Natalie Cole,5
408,spotify:track:6120uJUyg6QDzaAJUosTx5,Knock On Wood,Amii Stewart,3
409,spotify:track:5siee1e4lz8uF51OokjglA,Shackles (Praise You),Mary Mary,2
410,spotify:track:5xl5582IihbEZAnfj0xyso,Straight Up,Paula Abdul,7
411,spotify:track:7p4C1w3JSmKVJXixBrtaKI,NTE,Buscabulla,7
412,spotify:track:3YXt7ciEna9m7eVd5ZFq1x,Sailing,Rod Stewart,3
413,spotify:track:15hut9fX33giUAMyycwvsV,Call Your Girlfriend,Robyn,3
414,spotify:track:1bObrsJGW0UCIGZkvnDqbe,Stop This Flame,Celeste,3
415,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,The Boxer,Simon & Garfunkel,7
416,spotify:track:5nNJtG9X7Y2BYyJVKHA0tq,We're All in the Same Dance,Canzoniere Grecanico Salentino& Mauro Durante,4
417,spotify:track:1a8JpAL3vbAdXYrEABvOtb,AMERIKA,Rammstein,2
418,spotify:track:52XYwQKlXp7scE7KrBBCID,Links 2 3 4,Rammstein,1
419,spotify:track:1DqsXz3m20THt7i4wRACJm,Invisible,Grouper,2
420,spotify:track:6UmslOyMdTKrTmeeOWVRSx,Seabird,Alessi Brothers,6
421,spotify:track:7d83N477lqhTnp0uxy1tEp,The Colorful Stabwound,múm,4
422,spotify:track:48n00daIw01NSGXRqS3m7G,Train Song,Vashti Bunyan,2
423,spotify:track:3UyVG4yc9wc3rz3Trw1iHd,Run the Road,Santigold,3
424,spotify:track:0lVkcHdJQ29VEoz0Rs4Owr,Look at Them,Jeanne Added,4
425,spotify:track:7xQ41O8MyVq4QbPt8RHOy6,Nekwni S Warrach N Lezzayer,Motivés,4
426,spotify:track:7bhI6rnvaVw8qgZPn32qE0,Looking Too Closely,Fink,3
427,spotify:track:5pn4wdFwix4qr5SlNyRw7W,The Middle of the World,Nicholas Britell,3
428,spotify:track:3J4DrAgutiIRm12Tf0fIyb,Thomas & Thomas,Minizza,1
429,spotify:track:1uNhvxpkPrNHUNfeclo6xD,Mr. Moustafa,Alexandre Desplat,4
430,spotify:track:2FFPavf4l6t9PygEfUNtTE,I'm Terrified of Being,Ladylike Lily,5
431,spotify:track:69tg4gvX2QJggcmRxGyEJJ,Speed,Zazie,6
432,spotify:track:1kjaDbJzIBjuKxF2hk6ACj,Hope,Kid Wise,2
433,spotify:track:19503qDaxgCdPL2BhJngij,Apply Some Pressure,Maximo Park,3
434,spotify:track:7kN0qXSaCsS6V47UJvaFw1,Obstacle 1 - Remastered,Interpol,4
435,spotify:track:4kxYIvDIpWTrZgHn3sYxxC,Helicopter,Bloc Party,7
436,spotify:track:13bEwk7dTy0RdOAY3ZNNBD,Golden Touch - Full Length,Razorlight,5
437,spotify:track:0N5x5UmYcbBeHFJtCCqf62,Ruby,Kaiser Chiefs,2
438,spotify:track:2VAlwOewe5c40VHyqozF1V,"Steady, As She Goes",The Raconteurs,6
439,spotify:track:1R1EmnEjBMgKv5JJehcHpX,Catch It,Andrew Applepie& NKLS,4
440,spotify:track:32dk3UXnGv7lpN7FE3K2ws,Farewell To The Fairground,White Lies,6
441,spotify:track:6RrJMgSWCe4hZ0b0ZIU9rA,Holes,Mercury Rev,1
442,spotify:track:1z4xjDLLWJgG48Bn8OCxZv,Help I'm Alive,Metric,6
443,spotify:track:1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,OK Go,0
444,spotify:track:2hDtkP0ge2Gckcj7qi2NQ2,Doing It To Death,The Kills,3
445,spotify:track:1ToEp1fLUtobz5lMGgmc1K,National Aerobic Championship Theme,Ty Parr,1
446,spotify:track:09fjS6SOKBcIr0imSWStMa,The Million Dollar Song,Calby,4
447,spotify:track:1e1a7eAlICks9mch3UVsEH,Melody Noir,Patrick Watson,3
448,spotify:track:4mulNFh0v6wiWzXSoH3zgA,Te Informo,Azabache,7
449,spotify:track:5Q0u60lrmddpimsu1yQ2hM,Blue Jeans,Eugene McGuinness,4
450,spotify:track:4Iqf13qkoUY3c7CyzMCi1V,Prince of Tears,Baxter Dury,4
451,spotify:track:3bFcSg0cC6ACPqavbsVcAH,Sur un volcan,La Maison Tellier,1
452,spotify:track:2t3SImRE1uHHBkVZ98DM15,Les otaries,Arne Vinzon,0
453,spotify:track:7KFoqRkfzGFepuIegAdXh3,When I'm Gone,Louis Aguilar,7
454,spotify:track:0LS9j29qzv8vKFz2Hi3G8c,Cristina,Teleman,4
455,spotify:track:1oGqYCpQo7cmj4CAvSk2wc,Model,Balanescu Quartet,2
456,spotify:track:25n4EQP5cYQNmfNVUQZUZr,Reason or Rhyme,The Bryan Ferry Orchestra,1
457,spotify:track:3VHFkxbekZQF7xLRd7KjgL,Johnny And Mary,Robert Palmer,4
458,spotify:track:35fC3Wq3slX4OBfyvBVmHm,Samba Pa Ti,Santana,2
459,spotify:track:1EG9gvcCJw4BYV8Nmohpeb,En Surface,Étienne Daho& Dominique A,7
460,spotify:track:50Dfp4PZQqvXLlniASKpTY,Obvs,Jamie xx,7
461,spotify:track:16TeQ2lM9TLU9BnLDIW1P9,Hasta Siempre,Nathalie Cardone,3
462,spotify:track:2seqsVYFO7vHMPWIrAYSSf,What Makes You Think You're the One - 2015 Remaster,Fleetwood Mac,2
463,spotify:track:5mWnRLqeDjwFrf3UeO7dhs,Starving In The Belly Of The Whale,Tom Waits,3
464,spotify:track:5rfNNdaCovygh3cxY1txTR,Le grand amour,Albin de la Simone,0
465,spotify:track:1O64wOa61aUzJ1s8SQptjS,Only Takes A Night (Unreleased B-side),The Dø,7
466,spotify:track:5gH210qVSjzFbIytFEDVob,Unicorns,Saint Michel,3
467,spotify:track:45lac7ljUIj66aAOVjRCwe,White Lies,S+C+A+R+R,7
468,spotify:track:1wMk3vyoYZ8WaBtoS1vKLF,Let's Burn Again,Gush,7
469,spotify:track:49CsG63iEYAQhViMyLfQqC,Le chant des partisans,Germaine Sablon,7
470,spotify:track:0nspiVDI7l8dgsulJq27C0,Samba,Samba De La Muerte,3
471,spotify:track:5N0VazKxOrBZhmJoGcZMbS,Dry Your Tears,Yorina,5
472,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,Linger,The Cranberries,4
473,spotify:track:2fKog3E5P7HVQZs2sQMFrO,Опера #2,Vitas,7
474,spotify:track:57i3M29DWoo7RDk0Tf0LZG,Daylight,Matt and Kim,2
475,spotify:track:1RbhQxFFJM7QNKALY5JebS,With You - A Sweet Little Love Song Demo,Valerie June,4
476,spotify:track:1zeUhXNMqmf80JnfqT2fXK,Bandiera Rossa,Bandiera Rossa,2
477,spotify:track:3TocizxIzxglEy2k7yuMZ5,La complainte du soleil,Laura Cahen,5
478,spotify:track:0qAMjeQFyd1qD0LDiV8gWp,Black Horse And The Cherry Tree,KT Tunstall,3
479,spotify:track:36Hhs5kUtEaz7m3MVhXoeC,It's A Long Way,Caetano Veloso,3
480,spotify:track:6mzrprZcWViEQZFBWXhwZ6,夢二のテーマ,梅林 茂,7
481,spotify:track:4h8lZ2Tt7IcrhT7XxB23km,End Come Too Soon,Wild Beasts,1
482,spotify:track:3RugqFNemL5KBRUQnIo3sU,Hospital,Témé Tan,4
483,spotify:track:6xrjiQlZMCDp2sDJhW2v6e,One Thing,Peter and Kerry,4
484,spotify:track:2Rz26pOZKTVpa2EOjmNlaP,Oasis,La Chica,3
485,spotify:track:4awOii3eUQ06pdzZLZ4ccy,Bounce,Brasstronaut,7
486,spotify:track:1CsMuJeMzRqNgS7G0fo1Gv,How to Fight Loneliness,Wilco,3
487,spotify:track:1chmZUBdfxoLWN1LCZ6HLO,Bashed Out,This Is The Kit,3
488,spotify:track:4pdGqhW6HzzsFP8Gi3vMn8,All Night,Bree Runway,3
489,spotify:track:4bsw5Js99AomxvKM0mxEAL,Mutate,Jeanne Added,4
490,spotify:track:5Y8UUyWfuQ0EAmYLvwwcJL,home with you,FKA twigs,4
491,spotify:track:4rcShj6WCIPCStktBu61MG,Si j'etais moi,Zazie,2
492,spotify:track:6vJZnE3jJWfxOIVONjntUO,"Say It Ain't So, Joe",Murray Head,2
493,spotify:track:5td7WsBur5opModo1lB1X3,What The World Needs Now Is Love - Remastered,Jackie DeShannon,7
494,spotify:track:1rmyOgDh9fDtdR4PssHqpC,The First Happiness of the Day,Pink Martini,4
495,spotify:track:7iDhPLIzvVE3tGAk9hKIl1,Palomino,Gemma Hayes,7
496,spotify:track:6jfHULU1jxpdYPR9gK887U,Un homme extraordinaire,Les Innocents,7
497,spotify:track:1FX1DqJvtVgjJNCyjq8jyi,My Hand in Your Hand,Octave Noire,4
498,spotify:track:4t5s1y2ZLrHtmZNRlof59V,Une chanson qui te ressemblerait,William Sheller,7
499,spotify:track:6axvnGwB3rtoriGI1lPhTz,Chinese New Year,SALES,7
500,spotify:track:37Iy02wpPR5M0iiRBiV4DD,That's All,Clare & The Reasons,4
501,spotify:track:19VAj1iANfOZ3liNVd5uHb,Boris,BOY,2
502,spotify:track:6rvaMJnwgXdrGfWOlR7RSP,Love Song,Koudlam,6
503,spotify:track:09wLmYMwtkACbGAPqX22Pb,I Go to Sleep,Anika,6
504,spotify:track:2KhS0LVOw9ralhfbcIi7vL,Comes And Goes (In Waves),Greg Laswell,4
505,spotify:track:6KpTwo0iyZ4Bpu5fzhnEjl,The Meaning Of Love,Chrome Sparks,5
506,spotify:track:5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,3
507,spotify:track:5sqJx5ryxugS6PubLsJIP8,Annie and Owen,Dan Romer,3
508,spotify:track:0Hvvs3VDBQzJ6ksSLA7l4G,Demanding Excellence,Labrinth,6
509,spotify:track:78WKX42c85u92adSMv9Dzg,Saitara-Bushi,Chiemi Eri,3
510,spotify:track:5W8y0FuhDp3bOIKoHIazp5,Soutbouk,Jawhar,2
511,spotify:track:5aGDIGKHrGAYJn33DsVdIF,In Real Life,Buvette,6
512,spotify:track:3oGe6uikWPSuA9QpNnPwlb,Les sunlights des tropiques,Suna& Yumi,1
513,spotify:track:1nyXYgcOxmCPzMay9q5StX,Ohio,King Princess,3
514,spotify:track:23DoSXWgMS2DZvKAljUCUM,Got to Go,Atili& Prendy,3
515,spotify:track:5EPMGpzwuUAutClCLFyGVh,For the Good Times,Al Green,6
516,spotify:track:6bTn1ovliI0OkjUNkiMBJq,Nobody,Mitski,3
517,spotify:track:4WLL2Hnnt0egTleTXG3jBi,Forever and Ever,Boogie Belgique,1
518,spotify:track:69D8GX0xVahhxNmGMmZsbj,Kissing Disease,Melodium,1
519,spotify:track:7vfILe0geNdQ7ilJYF45SU,Abusey Junction,KOKOROKO,3
520,spotify:track:13BHFlLGK9RS6ua5dKm2w0,Sweet Like Brandy,Kwamie Liv,6
521,spotify:track:3qsMWrhTbsiTQVykS3AeO5,"Cours, cours, et cours encore...",Tim Dup,3
522,spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl,Your Love (Déjà Vu),Glass Animals,3
523,spotify:track:6HTVZeVQ9J6Uiq6tHESxU9,"Welcome Home, Son",Radical Face,7
524,spotify:track:4WyNz1KalCOsOmhcwUsUmY,My Baby Boy,theAngelcy,7
525,spotify:track:4OiHLKISMcm8iIRWvai2A2,Celentano,A Toys Orchestra,4
526,spotify:track:5ft5uCM9k9OZ06DvAaHV9F,Stormi,Iosonouncane,6
527,spotify:track:3gFkY3sqxEus2OO1Zh118v,Keep the Streets Empty For Me,Fever Ray,6
528,spotify:track:7frqaCMi7gVCD7JBuDrmEd,Lost It To Trying,Son Lux,0
529,spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu& beabadoobee,1
530,spotify:track:77tKWPApXR23eh2kBWrNPP,Ces mots simples,Vanessa Paradis,5
531,spotify:track:57g4FPWM67egu3ZbKE3Du5,Men Should Never Fall In Love,GRANDGEORGE,7
532,spotify:track:521swwVDPXCrClIzuIDzmR,O Vai,Vaiteani,1
533,spotify:track:6GruFJTfZZqnb2osHcPE4c,Misses,Girls In Hawaii,4
534,spotify:track:0C2vuwLuunPNCJpyAG3kzh,Mr. Tillman,Father John Misty,1
535,spotify:track:2UZ8C6abrCuhjelaK1MFz1,All My Tears,Ane Brun,4
536,spotify:track:5azaaeLKtKevqs8u1XHRHI,The Pirate's Gospel,Alela Diane,1
537,spotify:track:7l9Qen3FyvkKOYJb0vbafp,Leave Me Alone,Ellen Allien& Apparat,4
538,spotify:track:0RWDbR1CJD4NKRxSQQyu8s,Ocean Tree,FEATHERED SUN& Christopher Schwarzwälder& Nu& Raz Ohara,1
539,spotify:track:0L2r7a4FAZ7VNMd0RmysMK,Papa Sooma feat. Abrão,Red Axes& Abrão,1
540,spotify:track:3L50tevLWdfl4KZxjj8oId,Poi E,Patea Maori Club,3
541,spotify:track:3oU0VH9kbBIYnMvYey1KtB,Demon Host,Timber Timbre,1
542,spotify:track:7eOdjuAdxZBFmBxbG3xzwO,Klangfall,Joep Beving,7
543,spotify:track:78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,3
544,spotify:track:3P43oJYbvgaqHpE6Bgrtul,Flash in the Pan,Aliocha,4
545,spotify:track:4O0sGJdqpHMaWz7KoVd7tb,Diamonds And Rust,Joan Baez,1
546,spotify:track:7qx03NsIL42jM03zFphnRO,Corps,Yseult,0
547,spotify:track:5Au3a2viPE9GafkRai7qsA,Le chemin,Yuzmv,3
